Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemployment Rate
Ontario,2021,2,14.74,152,0.4940606389289614,0.9167842031029496,1.489361702127634,38.7,36.7,24.7,0.1417166447279902,0.2188700259582188,0.18,0.38,<1%,0.28,0.16,9.2
Ontario,2021,3,21.2,249,0.3019445530594299,0.487125957,0.9084556254367326,48.3,31.1,20.6,0.1421111377061338,0.2141505252359624,0.18,0.37,<1%,0.28,0.17,7.666666667
Ontario,2021,4,7.17,228,0.3687265159249664,0.2059025394646612,1.1080332409972191,45.8,32.1,22,0.1385670525561388,0.2048460478388235,0.19,0.35,<1%,0.29,0.17,6.5
Ontario,2022,1,-2.51,180,1.0842622010929892,2.3066485753052954,3.2876712328767432,44.9,33.6,21.5,0.1400205144535184,0.2024277752202262,0.18,0.33,<1%,0.31,0.18,6.166666667
Ontario,2022,2,14.31,135,0.7903869714047144,1.8469656992084509,2.3872679045092715,45.6,31.7,22.7,0.1523745716268704,0.2223255538400861,0.19,0.33,<1%,0.31,0.17,5.366666667
Ontario,2022,3,21.3,182,-0.064627195,-0.323415265,-0.194300518,52.1,31.5,16.4,0.158184188,0.2359699932822633,0.18,0.34,<1%,0.33,0.15,5.333333333
Ontario,2022,4,5.89,229,0.1521959288873331,-0.257731959,0.454250487,44.6,32.4,23,0.158862084,0.2414962915253353,0.19,0.32,<1%,0.32,0.17,5.466666667
Ontario,2023,1,0.73,243,0.5354751498923541,1.0276172125883256,1.6149870801033472,45,33,22,0.1550276671811239,0.2356008359228558,0.17,0.32,<1%,0.34,0.17,5.2
Ontario,2023,2,14.54,258,0.2327775320596026,0.3166561114629512,0.6993006993007089,45.3,33.5,21.1,0.1552353799569601,0.2344982058210295,0.17,0.3,<1%,0.37,0.16,5.366666667
Ontario,2023,3,20.93,153,0.2734891695097108,0.062656642,0.820707071,44.1,33.8,22.1,0.1586872949499461,0.2398532148294663,0.16,0.31,<1%,0.37,0.16,5.85
Prince Edward Island,2021,2,9.9,278,0.629505177,1.117318435754206,1.9000703729768145,48.7,33.1,18.1,0.1366507973860941,0.2154183612850157,0.19,0.41,,0.26,0.14,10.86666667
Prince Edward Island,2021,3,18.12,393,0.4826393359370777,0.2046384720327499,1.4502762430939289,52.1,31.4,16.4,0.1374512584190003,0.2105240419924828,0.15,0.47,,0.22,0.16,11.03333333
Prince Edward Island,2021,4,4.5,318,0.114191422,-0.270635995,0.3403675970047537,52.2,29.7,18.1,0.1370053919535462,0.2064072327044025,0.21,0.37,,0.25,0.17,9
Prince Edward Island,2022,1,-4.38,399,1.6256236149417254,3.409090909090905,4.952510176390756,53.2,31.7,15.1,0.1394603347708984,0.204278761,0.2,0.4,,0.26,0.14,9.333333333
Prince Edward Island,2022,2,9.03,255,1.2607772389662637,2.9487179487179453,3.813833225597918,49.8,32.5,17.7,0.1512326388888888,0.2241586058038212,0.2,0.39,,0.22,0.19,7.366666667
Prince Edward Island,2022,3,17.5,341,-0.290745116,-0.809968847,-0.871731009,56.7,31,12.2,0.1566082858549623,0.2379331811579166,0.2,0.42,,0.24,0.14,7.5
Prince Edward Island,2022,4,5.15,265,-0.072881732,-1.182327318,-0.251256281,47,32.5,20.6,0.1582274084878794,0.2453492746958739,0.19,0.38,,0.27,0.16,6.433333333
Prince Edward Island,2023,1,-3.66,282,0.398975741,0.3747657713928759,1.196473551637256,44.3,34.4,21.4,0.1561952861952862,0.2418379685610641,0.18,0.37,,0.3,0.15,7
Prince Edward Island,2023,2,8.95,205,0.06297234,-0.432900433,0.1866832607342994,41.6,36.2,22.2,0.1573130519792547,0.2420550429776831,0.17,0.35,,0.27,0.21,7.533333333
